IRIS_ID	NAME	Variety_Name_verif	COUNTRY	REGION	K9_cluster	Initial_subpop
CX10	GANG_46B	Gang_46B	China	As6	XI-1A	ind1A
CX100	PALUNG_2	Palung_2	Nepal	As2b	XI-1B	ind1B
CX101	HEI_MI_CHAN	Hei_Mi_Chan	Taiwan	As6	XI-1A	ind1A
CX102	TEK_SI_CHUT	Tek_Si_Chut	Taiwan	As6	XI-1A	ind1A
CX103	RUBIO	Rubio	Peru	Am	admix	admix
CX104	SADRI_RICE_1	Sadri_rice_1	Iran	As1	cB_(Bas)	aro
CX106	SAL_BUI_BAO	SAL_BUI_BAO	Vietnam	As4	GJ-trp	trop
CX107	TUN_SART	Tun__Sart	Vietnam	As4	XI-3	ind3
CX108	ZIRI	Ziri	India	As2a	admix	admix
CX109	DACCA6	Dacca6	Philippines	As5	GJ-adm	japx
CX11	GUMEI_2	Gumei_2_	China	As6	GJ-adm	japx
CX110	UP15	UP15	Japan	As7	cB_(Bas)	aro
CX111	GIZA14	Giza14	Egypt	AfN	GJ-trp	trop
CX112	GINGA	Ginga	Japan	As7	admix	admix
CX113	BINIAPAN	Biniapan	0	0	GJ-trp	trop
CX114	GUANG_LU_AI_4	Guang_Lu_Ai_4	China	As6	XI-1A	ind1A
CX115	YUN_HUI_72	Yun_hui_72	China	As6	XI-adm	indx
CX116	WUDADAOZHONG	Wudadaozhong	NorthKorea	As7	GJ-tmp	temp
CX117	IR65600-27-1-2-2	IR65600-27-1-2-2	Philippines	As5	XI-adm	indx
CX118	YETUOZAI	Yetuozai_	China	As6	XI-adm	indx
CX119	P59279	P59279	0	0	XI-adm	indx
CX12	HUAGENGXIAN_74	Huagengxian_74	China	As6	XI-adm	indx
CX120	TKM6	TKM6	India	As2a	XI-adm	indx
CX121	GUANG122	Guang122	China	As6	XI-1B	ind1B
CX122	TAI-ZHONG-XIAN_10	Tai-Zhong-Xian_10	Taiwan	As6	XI-adm	indx
CX123	YU_QIU_GU	Yu_Qiu_Gu	China	As6	XI-1A	ind1A
CX124	IR71466-75-3-B-1	IR71466-75-3-B-1	Philippines	As5	XI-adm	indx
CX125	CAOZHAO-2	CAOZHAO-2	China	As6	XI-1B	ind1B
CX126	IRBB60	IRBB60	Philippines	As5	XI-1B	ind1B
CX128	GAJALE	Gajale	Nepal	As2b	XI-adm	indx
CX129	MOLOK	MOLOK	Indonesia	As5	GJ-trp	trop
CX13	R644	R644	China	As6	XI-adm	indx
CX130	CHIPDA	CHIPDA	India	As2a	XI-2	ind2
CX131	ZALE	ZALE	Myanmar	As3	XI-1A	ind1A
CX132	AP423	AP423	India	As2a	GJ-trp	trop
CX133	ZHENGSHAN97	Zhengshan97	China	As6	XI-1A	ind1A
CX134	IRBB7	IRBB7	Philippines	As5	XI-1B	ind1B
CX138	QD_441	Qd_441	China	As6	GJ-adm	japx
CX139	AMARELES	Amareles	Portugal	Eu	GJ-adm	japx
CX14	CHENNONG_265	Chennong_265	China	As6	GJ-tmp	temp
CX140	NIPPONBARE	Nipponbare	Japan	As7	GJ-tmp	temp
CX141	PADI_SIAM_KUNING	Padi_Siam_Kuning	Malaysia	As4	XI-3	ind3
CX142	AI_YEH_LU	Ai_Yeh_Lu	China	As6	GJ-adm	japx
CX143	KHASAR	Khasar	Iran	As1	cB_(Bas)	aro
CX144	HTA7204	Hta7204	0	0	XI-adm	indx
CX145	MINGHUI_63	Minghui_63	China	As6	XI-adm	indx
CX146	CO43	Co43	India	As2a	XI-adm	indx
CX147	SEBERANG	Seberang	0	0	XI-adm	indx
CX148	SRI_RAJA	Sri_Raja	Malaysia	As4	XI-3	ind3
CX149	KARNAL_LOCAL	Karnal_Local	India	As2a	cB_(Bas)	aro
CX15	Y134	Y134	China	As6	XI-1B	ind1B
CX150	CHOROFA	Chorofa	Philippines	As5	XI-1B	ind1B
CX151	AZUCENA	AZUCENA	Philippines	As5	GJ-trp	trop
CX152	CISADANE	Cisadane	0	0	XI-1B	ind1B
CX153	JALMAGNA	Jalmagna	India	As2a	XI-2	ind2
CX154	KHAO_DAWK_MALI_105	Khao_Dawk_Mali_105	Thailand	As4	XI-3	ind3
CX155	MADHUKAR	Madhukar	India	As2a	XI-2	ind2
CX156	MR84	MR84	Malaysia	As4	XI-adm	indx
CX157	PTB33	Ptb33	India	As2a	XI-adm	indx
CX158	SHWE_WAR_TUN	Shwe_War_Tun	Vietnam	As4	XI-3	ind3
CX16	YUAN_JING_7	Yuan__jing__7	China	As6	GJ-tmp	temp
CX160	W1263	W1263	India	As2a	XI-2	ind2
CX161	IR42	IR42	Philippines	As5	XI-1B	ind1B
CX162	TN1	TN1	Taiwan	As6	XI-1A	ind1A
CX165	WUYUGENG_3	Wuyugeng_3_	China	As6	GJ-tmp	temp
CX17	YUEXIANGZHAN	Yuexiangzhan_	China	As6	XI-adm	indx
CX18	ZAOXIAN_14	Zaoxian_14	China	As6	XI-1A	ind1A
CX182	SLG1	SLG1	Japan	As7	XI-adm	indx
CX19	ZHONG_413	Zhong_413	China	As6	XI-adm	indx
CX2	BR11	BR11	Bangladesh	As2c	XI-adm	indx
CX20	ZIHUI_100	Zihui_100	China	As6	XI-adm	indx
CX205	IR69428-6-1-1-3-3	IR69428-6-1-1-3-3	Philippines	As5	GJ-adm	japx
CX206	IR2061-522-6-9	IR2061-522-6-9	Philippines	As5	XI-1B	ind1B
CX207	GAOZI	Gaozi	China	As6	XI-adm	indx
CX21	BG90-2	Bg90-2	SriLanka	As2	XI-1B	ind1B
CX210	QB_604	Qb_604	China	As6	admix	admix
CX211	M3122	M3122	China	As6	GJ-tmp	temp
CX212	NONGKEN_58	Nongken_58	Japan	As7	GJ-tmp	temp
CX213	CHENNONG_89366	Chennong_89366	China	As6	GJ-tmp	temp
CX214	BRAZIL_NUODAO	Brazil_Nuodao	Brazil	Am	GJ-trp	trop
CX218	TYPE3	Type3	India	As2a	XI-1B	ind1B
CX219	FL478	FL478	Philippines	As5	XI-adm	indx
CX22	PR106	PR106	India	As2a	XI-1B	ind1B
CX220	IRAT109	IRAT109	Brazil	Am	GJ-trp	trop
CX221	ZHONGYOUZAO_81	Zhongyouzao_81	China	As6	XI-adm	indx
CX225	IR77298-14-1-2	IR77298-14-1-2	Philippines	As5	XI-1B	ind1B
CX226	IR06G113	IR06G113	Philippines	As5	XI-1B	ind1B
CX227	KASALATH	KASALATH	Japan	As7	cA_(Aus)	aus
CX228	BALA	Bala	India	As2a	XI-adm	indx
CX23	RASI	Rasi	Indonesia	As5	XI-3	ind3
CX230	IR64-IL	IR64-IL	China	As6	XI-1B	ind1B
CX231	IR52561-UBN-1-1-2	IR52561-UBN-1-1-2	Philippines	As5	XI-adm	indx
CX232	IR55419-04	IR55419-04	Philippines	As5	XI-adm	indx
CX233	IR58821-23-1-3-1	IR58821-23-1-3-1	Philippines	As5	XI-adm	indx
CX234	IR62266-42-6-2	IR62266-42-6-2	Philippines	As5	XI-adm	indx
CX235	NSIC_RC9_(APO)	NSIC_RC9_(APO)	Philippines	As5	XI-adm	indx
CX236	VANDANA	Vandana	0	0	XI-adm	indx
CX237	B6136-3-TB-0-1-5	B6136-3-TB-0-1-5	Philippines	As5	XI-1B	ind1B
CX238	BW311-9	BW311-9	Philippines	As5	XI-1B	ind1B
CX24	TKM_9	TKM_9	India	As2a	XI-adm	indx
CX240	CARIJO	Carijo	Brazil	Am	XI-adm	indx
CX241	IAC47	IAC47	Philippines	As5	GJ-trp	trop
CX242	IR47686-4-4-B-1	IR47686-4-4-B-1	Philippines	As5	admix	admix
CX243	IR47686-6-2-1-1	IR47686-6-2-1-1	Philippines	As5	GJ-trp	trop
CX247	IRAT144	IRAT144	Indonesia	As5	XI-adm	indx
CX248	KINANDANGPATONG	KinandangPatong	Philippines	As5	GJ-trp	trop
CX249	2004	2004	China	As6	XI-1B	ind1B
CX25	CISANGGARUNG	Cisanggarung	Indonesia	As5	XI-1B	ind1B
CX250	829	829	China	As6	XI-1B	ind1B
CX251	XUDAO_4	Xudao_4_	China	As6	GJ-tmp	temp
CX26	AMOL3(SANA)	Amol3(Sana)	Iran	As1	XI-1B	ind1B
CX262	IAC3	IAC3	China	As6	GJ-trp	trop
CX263	PADISENEMOK	PADISENEMOK	0	0	XI-adm	indx
CX265	MONOLAYA	MONOLAYA	UnitedStates	Am	XI-adm	indx
CX266	DINORADO	DINORADO	Philippines	As5	GJ-trp	trop
CX267	IET1444	IET1444	India	As2a	XI-adm	indx
CX268	ARROZVERMELHO	ARROZVERMELHO	Philippines	As5	XI-adm	indx
CX269	IAC165	IAC165	Brazil	Am	GJ-trp	trop
CX27	KHAZAR	Khazar	Iran	As1	XI-adm	indx
CX270	TAICHUNGNATIVE1	TAICHUNGNATIVE1	Taiwan	As6	XI-1A	ind1A
CX273	NONA_BOKRA	NONA_BOKRA	India	As2a	XI-adm	indx
CX274	IR26	IR26	Philippines	As5	XI-adm	indx
CX275	IR34	IR34	Philippines	As5	XI-adm	indx
CX276	IR8192-200-3-3-1-1	IR8192-200-3-3-1-1	Philippines	As5	XI-1B	ind1B
CX277	02428-IL	02428-IL	China	As6	GJ-adm	japx
CX278	IR68	IR68	Philippines	As5	XI-adm	indx
CX28	GAYABYEO	Gayabyeo	Korea	As7	XI-1B	ind1B
CX280	MARAVILHA	Maravilha	Brazil	Am	admix	admix
CX281	IR68897B	IR68897B	Philippines	As5	XI-1B	ind1B
